,0
"(0.9213094502779493, 0.0127753715987137, 5)",A
"(0.9404570722668314, 0.005885672266619686, 5)",B
"(0.9257566399011735, 0.030825764884962092, 5)",C
"(0.9668931439159976, 0.0025690715680154776, 5)",D
"(0.9764051883878938, 0.005866193981758499, 5)",E
"(0.9697344039530574, 0.01695488231168721, 5)",F
"(0.9767757875231624, 0.008741654262478946, 5)",G
