Model,Model_Accuracy,Model_STD
1,0.921309450277949,0.012775371598714
2,0.940457072266831,0.00588567226662
3,0.925756639901174,0.030825764884962
4,0.966893143915998,0.002569071568015
5,0.976405188387894,0.005866193981759
6,0.969734403953057,0.016954882311687
7,0.976775787523162,0.008741654262479
