Model,Model_Accuracy,Model_STD
1,0.923943661971831,0.017314115035985
2,0.937822054276881,0.009075812307539
3,0.951356922019924,0.0109027790637
4,0.97169357609069,0.008062222143157
5,0.979319821367228,0.01303900862633
6,0.985365853658537,0.003875894938528
7,0.98557196839574,0.003848395139541
8,0.976158122297715,0.006844667166001
9,0.990106492614222,0.003360576324671
