,0
"(0.9458605290278255, 0.0032280343416924637, 5)",A
"(0.9580212985228443, 0.006842091768538375, 5)",B
"(0.9519752662315356, 0.011306081720769055, 5)",C
"(0.9786327722432154, 0.007950942592083971, 5)",D
"(0.9823428375128822, 0.007579369492557376, 5)",E
"(0.9835795259361044, 0.014018159453116663, 5)",F
"(0.9877705255925798, 0.0030591050306963997, 5)",G
