,0
"(0.923943661971831, 0.017314115035985043, 5)",A
"(0.9378220542768808, 0.009075812307538917, 5)",B
"(0.9513569220199244, 0.01090277906370031, 5)",C
"(0.9716935760906905, 0.008062222143156805, 5)",D
"(0.9793198213672277, 0.013039008626330041, 5)",E
"(0.9853658536585366, 0.00387589493852787, 5)",F
"(0.9855719683957403, 0.0038483951395410615, 5)",G
