,0
"(0.9517691514943318, 0.010550734918997936, 5)",A
"(0.970663002404672, 0.004416662576331227, 5)",B
"(0.963723806252147, 0.010921704228201611, 5)",C
"(0.981999312950876, 0.0018752791568473095, 5)",D
"(0.9871521813809687, 0.0036886924618471143, 5)",E
"(0.9916867055994504, 0.0018079968899952887, 5)",F
"(0.9910683613878393, 0.002199630449135298, 5)",G
