,0
"(0.8928968499073503, 0.012288278516616591, 5)",A
"(0.908462013588635, 0.02394757459847584, 5)",B
"(0.9153798641136505, 0.04727661443638919, 5)",C
"(0.9504632489190858, 0.021102105535351832, 5)",D
"(0.9692402717726992, 0.004152621695854613, 5)",E
"(0.9588634959851761, 0.028761586363001915, 5)",F
"(0.9761581222977147, 0.0068446671660012766, 5)",G
