Model,Model_accuracy,Model_STD
1,0.951769151494332,0.010550734918998
2,0.970663002404672,0.004416662576331
3,0.963723806252147,0.010921704228202
4,0.981999312950876,0.001875279156847
5,0.987152181380969,0.003688692461847
6,0.99168670559945,0.001807996889995
7,0.991068361387839,0.002199630449135
