Model,Model_Accuracy ,Model_STD
1,0.945860529027826,0.003228034341692
2,0.958021298522844,0.006842091768538
3,0.951975266231536,0.011306081720769
4,0.978632772243215,0.007950942592084
5,0.982342837512882,0.007579369492557
6,0.983579525936104,0.014018159453117
7,0.98777052559258,0.003059105030696
8,0.976775787523162,0.008741654262479
9,0.991068361387839,0.002199630449135
