,0
"(0.9320508416351769, 0.012474719746107372, 5)",A
"(0.953280659567159, 0.00861897580920258, 5)",B
"(0.9627619374785297, 0.00406899007072103, 5)",C
"(0.9697698385434559, 0.01831826809741659, 5)",D
"(0.9862590175197526, 0.001865815955204404, 5)",E
"(0.9874957059429749, 0.0038606414557433785, 5)",F
"(0.9901064926142219, 0.0033605763246707197, 5)",G
